Название реки\Месяц,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
Река Тура, 0.0, +1.0, +3.7, +2.2, +9.2, +16.6, +14.9, +16.8, +17.5, +11.4, +6.8, +4.0
Река Уфа, 0.0, +1.1, +3.7, +2.2, +9.2, +16.5, +14.9, +16.8, +17.4, +11.4, +6.8, +3.9
Река Чусовая, 0.0, +1.0, +3.7, +2.2, +9.2, +16.0, +14.9, +16.8, +16.6, +11.5, +7.1, +3.3
Река Исеть, 0.0, +1.0, +3.6, +2.3, +9.2, +15.7, +15.0, +16.8, +16.2, +11.6, +7.3, +3.0
Река Лозьва, 0.0, +1.0, +3.6, +2.4, +9.2, +15.6, +15.0, +16.9, +16.0, +11.7, +7.3, +2.8
Река Тавда, 0.0, +1.0, +3.6, +2.4, +9.2, +15.5, +15.0, +16.9, +15.9, +11.7, +7.4, +2.7
Река Пелым, 0.0, +0.9, +3.5, +2.5, +9.2, +15.4, +15.1, +16.9, +15.7, +11.8, +7.5, +2.6
Река Сосьва, 0.0, +0.8, +3.3, +2.7, +9.3, +15.0, +15.2, +17.0, +15.2, +11.9, +7.7, +2.2
Река Сылва, 0.0, +0.8, +3.2, +2.9, +9.3, +14.7, +15.4, +17.1, +14.9, +12.0, +7.8, +2.0
Река Пышма, 0.0, 0.0, +1.8, +4.5, +9.4, +12.5, +16.3, +17.4, +13.1, +12.4, +8.4, +0.9
Река Косьва, +2.8, 0.0, 0.0, +7.1, +9.1, +10.4, +17.4, +17.0, +12.7, +12.0, +7.7, +1.9
Река Бисерть, +0.2, 0.0, +1.4, +3.8, +8.1, +14.0, +14.2, +14.8, +16.4, +9.9, +5.3, +5.1
Река Ирбит, 0.0, +0.8, +3.0, +2.0, +8.0, +14.8, +13.1, +14.6, +15.8, +9.9, +5.7, +4.0
Река Каква, 0.0, +0.6, +2.7, +2.8, +8.3, +12.8, +13.8, +15.3, +13.1, +10.8, +7.1, +1.6
Река Турья, 0.0, 0.0, +1.1, +4.7, +8.5, +10.7, +15.1, +15.8, +11.4, +11.3, +7.7, +0.6
Река Вогулка, +1.9, 0.0, 0.0, +6.2, +8.4, +9.5, +15.8, +15.7, +11.2, +11.2, +7.4, +1.0
Река Сулём, +2.6, 0.0, 0.0, +6.1, +8.0, +10.4, +15.1, +14.8, +13.1, +10.2, +5.9, +3.3
